Exercise,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating  ,Grip
Miniband Feet Lateral Walk,Intermediate,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,Walking,No Arms,Continuous,No Grip
Miniband Standing Glute Kickback,Novice,Glutes,Gluteus Maximus,,,Miniband,Standing,No Arms,Continuous,Hand Assisted
Barbell Hip Thrust,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Quadriceps Femoris,Barbell,Bridge,Double Arm,Continuous,Pronated
Barbell Single Leg Hip Thrust,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Obliques,Barbell,Single Leg Bridge,Double Arm,Continuous,Pronated
Stability Ball Single Leg Foot Elevated Glute Bridge,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Obliques,Stability Ball,Single Leg Bridge,No Arms,Continuous,No Grip
Miniband Standing Hip Abduction,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,Standing,No Arms,Continuous,Hand Assisted
Miniband 3 Way Cha Cha,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,Standing,No Arms,Continuous,No Grip
Slider Single Arm Kettlebell Suitcase Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Cable Hip Abduction,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Cable,Standing,No Arms,Continuous,Hand Assisted
Miniband Wall Sit Hip Abduction,Novice,Quadriceps,Quadriceps Femoris,Gluteus Medius,,Miniband,Wall Sit,No Arms,Continuous,No Grip
Slider Barbell Overhead Lateral Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,Standing,Double Arm,Continuous,Pronated
Single Arm Dumbbell Half Kneeling Contralateral Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,Half Kneeling,Single Arm,Continuous,Neutral
Barbell Shrug,Novice,Trapezius,Upper Trapezius,Levator Scapulae,Rhomboids,Barbell,Standing,Double Arm,Continuous,Pronated
Cable Face Pull,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,Standing,Double Arm,Continuous,Neutral
Cable Seated Face Pull,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,Seated Floor,Double Arm,Continuous,Neutral
Cable Guillotine Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,Supine,Double Arm,Continuous,Supinated
Cable Supine Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,Supine,Double Arm,Continuous,Supinated
Cable Straight Bar High Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,Standing,Double Arm,Continuous,Supinated
Double Dumbbell Spider Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,Prone,Double Arm,Continuous,Supinated
EZ Bar Spider Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,EZ Bar,Prone,Double Arm,Continuous,Supinated
Stability Ball Cable Preacher Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Stability Ball,Prone,Double Arm,Continuous,Supinated
Single Arm Dumbbell Standing Concentration Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,Standing,Single Arm,Continuous,Supinated
EZ Bar Wide Grip Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,EZ Bar,Standing,Double Arm,Continuous,Supinated
Single Arm Cable Standing High Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,Standing,Single Arm,Continuous,Supinated
EZ Bar Seated Overhead Tricep Extension,Novice,Triceps,Triceps Brachii,Anterior Deltoids,Rectus Abdominis,EZ Bar,Seated,Double Arm,Continuous,Pronated
EZ Bar Overhead Tricep Extension,Novice,Triceps,Triceps Brachii ,Anterior Deltoids,Rectus Abdominis,EZ Bar,Standing,Double Arm,Continuous,Pronated
Barbell Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Barbell,Standing,Double Arm,Continuous,Pronated
Bodyweight Diamond Push Up,Novice,Triceps,Triceps Brachii ,Pectoralis Major,Anterior Deltoids,Bodyweight,Prone,Double Arm,Continuous,Flat Palm
EZ Bar Lying Tricep Extension ,Novice,Triceps,Triceps Brachii ,,,EZ Bar,Supine,Double Arm,Continuous,Pronated
Cable Rope Overhead Tricep Extension,Novice,Triceps,Triceps Brachii ,Anterior Deltoids,Rectus Abdominis,Cable,Standing,Double Arm,Continuous,Neutral
Single Arm Cable Reverse Grip Tricep Pushdown,Novice,Triceps,Triceps Brachii ,,,Cable,Standing,Single Arm,Continuous,Pronated
