Exercise,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating  ,Grip
Bodyweight Tuck Planche Push Up,Expert,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Bodyweight,Other,Double Arm,Continuous,Flat Palm
Double Clubbell Asynchronous Mill,Expert,Shoulders,Posterior Deltoids,Gluteus Maximus,Obliques,Clubbell,Standing,Double Arm,Alternating,Neutral
Clubbell Order Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell,Standing,Double Arm,Continuous,Neutral
Clubbell Order Alternating Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell,Standing,Double Arm,Continuous,Neutral
Bodyweight L Sit,Expert,Abdominals,Rectus Abdominis,,,Bodyweight,L Sit,Double Arm,Continuous,Flat Palm
Bodyweight Single Arm L Sit,Master,Abdominals,Rectus Abdominis,,,Bodyweight,L Sit,Single Arm,Continuous,Flat Palm
Alternating Single Arm Kettlebell Low Hold Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,Standing,Single Arm,Alternating,Neutral
Single Arm Kettlebell Front Rack Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,Standing,Single Arm,Continuous,Neutral
Single Arm Kettlebell Front Rack Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Neutral
Single Arm Kettlebell Front Rack Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Neutral
Single Arm Kettlebell Bottoms Up Front Rack Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up
Single Arm Kettlebell Bottoms Up Front Rack Alternating Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up
Parallette V Sit to Pike Press Handstand,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Parallette Bars,Inverted,Double Arm,Continuous,Neutral
Ring Pseudo Planche Push Up,Expert,Chest,Pectoralis Major,Anterior Deltoids,,Gymnastic Rings,Prone,Double Arm,Continuous,Neutral
Single Arm Macebell Order Contralateral Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell,Standing,Single Arm,Continuous,Neutral
Single Arm Macebell Order Low Switch Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell,Standing,Single Arm,Continuous,Neutral
Single Arm Macebell Order Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell,Standing,Single Arm,Continuous,Neutral
Single Arm Macebell Order Foot Elevated Contralateral Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell,Standing,Single Arm,Continuous,Neutral
Stability Ball Feet Elevated Glute Bridge,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Stability Ball,Bridge,No Arms,Continuous,No Grip
Bodyweight Mountain Climber,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Bodyweight,Prone,Double Arm,Continuous,Flat Palm
Suspension Feet Elevated Mountain Climber,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Suspension Trainer,Prone,Double Arm,Continuous,Flat Palm
Bodyweight Straddle L Sit,Expert,Abdominals,Rectus Abdominis,,,Bodyweight,L Sit,Double Arm,Continuous,Flat Palm
Single Arm Kettlebell Bottoms Up Front Rack Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up
Bodyweight Cossack Squat,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Bodyweight,Standing,No Arms,Continuous,No Grip
Bodyweight Wall Facing Handstand Push Up,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm
Ring Pelican Push Up,Expert,Chest,Pectoralis Major,Triceps Brachii,Biceps Brachii,Gymnastic Rings,Prone,Double Arm,Continuous,Supinated
Barbell Back Rack Alternating Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Front Rack Alternating Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Standing,Double Arm,Continuous,Pronated
Ring Feet Elevated Pelican Push Up,Expert,Chest,Pectoralis Major,Triceps Brachii,Biceps Brachii,Gymnastic Rings,Prone,Double Arm,Continuous,Supinated
Suspension Pelican Push Up,Expert,Chest,Pectoralis Major,Triceps Brachii,Biceps Brachii,Suspension Trainer,Prone,Double Arm,Continuous,Neutral
Ring Tuck L Sit,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings,Tuck L Sit,Double Arm,Continuous,Neutral
Ring Hanging Tuck L Sit,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated
Bar Hanging Tuck L Sit,Intermediate,Abdominals,Rectus Abdominis,,,Pull Up Bar,Hanging,Double Arm,Continuous,Pronated
Single Arm Kettlebell Overhead Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,Standing,Single Arm,Continuous,Pronated
Single Arm Kettlebell Overhead Alternating Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Pronated
Ring Mountain Climber,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Gymnastic Rings,Prone,Double Arm,Continuous,Neutral
Ring Feet Elevated Mountain Climber,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Gymnastic Rings,Prone,Double Arm,Continuous,Flat Palm
Single Arm Kettlebell Overhead Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Pronated
Ring Dead Hang,Beginner,Forearms,Brachioradialis,Latissimus Dorsi,Teres Major,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated
Parallette Kneeling Push Up,Beginner,Chest,Pectoralis Major,,,Parallette Bars,Kneeling,Double Arm,Continuous,Neutral
Clubbell Outside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,Standing,Double Arm,Continuous,Neutral
Single Arm Macebell Order Carry,Novice,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Macebell,Walking,Single Arm,Continuous,Neutral
Clubbell Order Carry,Novice,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell,Walking,Double Arm,Continuous,Neutral
Macebell Order Carry,Novice,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Macebell,Walking,Double Arm,Continuous,Neutral
Macebell Order March,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Macebell,March,Double Arm,Continuous,Neutral
Single Arm Macebell Order March,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Macebell,March,Single Arm,Continuous,Neutral
Single Arm Kettlebell Bottoms Up Overhead Alternating Lateral Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up
Single Arm Kettlebell Bottoms Up Overhead Alternating Forward Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up
Single Arm Kettlebell Bottoms Up Overhead Alternating Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up
Stability Ball T's Y's I's ,Beginner,Shoulders,Posterior Deltoids,,,Stability Ball,Prone,Double Arm,Continuous,No Grip
Resistance Band Reverse Fly,Beginner,Shoulders,Posterior Deltoids,,,Resistance Band,Standing,Double Arm,Continuous,Neutral
Resistance Band Lateral Raise,Beginner,Shoulders,Lateral Deltoids,Anterior Deltoids,Trapezius,Resistance Band,Standing,Double Arm,Continuous,Neutral
Double Dumbbell Lateral Raise,Beginner,Shoulders,Lateral Deltoids,Anterior Deltoids,Trapezius,Dumbbell,Standing,Double Arm,Continuous,Neutral
Single Arm Resistance Band Standing Shoulder External Rotation,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Resistance Band,Standing,Single Arm,Continuous,Neutral
Double Dumbbell Seated Lateral Raise,Beginner,Shoulders,Lateral Deltoids,Anterior Deltoids,Trapezius,Dumbbell,Seated,Double Arm,Continuous,Neutral
Single Arm Dumbbell Side Lying Shoulder External Rotation,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,Side Lying,Single Arm,Continuous,Neutral
Miniband Standing Shoulder External Rotation,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Miniband,Standing,Double Arm,Continuous,Neutral
Single Arm Dumbbell Side Lying Shoulder Internal Rotation,Beginner,Shoulders,Subscapularis ,Teres Major,,Dumbbell,Side Lying,Single Arm,Continuous,Neutral
Stability Ball Double Dumbbell Seated Arnold Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Stability Ball,Seated,Double Arm,Continuous,Pronated
Single Arm Cable Lateral Raise,Beginner,Shoulders,Lateral Deltoids,Anterior Deltoids,Trapezius,Cable,Standing,Single Arm,Continuous,Pronated
Double Dumbbell Seated Overhead Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,Seated,Double Arm,Continuous,Neutral
Double Dumbbell Overhead Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,Standing,Double Arm,Continuous,Neutral
Double Dumbbell Shrug,Beginner,Trapezius,Upper Trapezius,Levator Scapulae,Rhomboids,Dumbbell,Standing,Double Arm,Continuous,Neutral
Double Dumbbell Standing Scaption,Beginner,Shoulders,Anterior Deltoids,Supraspinatus,Serratus Anterior,Dumbbell,Standing,Double Arm,Continuous,Neutral
EZ Bar Kneeling Rollout,Intermediate,Abdominals,Rectus Abdominis,Latissimus Dorsi,Serratus Anterior,EZ Bar,Kneeling,Double Arm,Continuous,Pronated
EZ Bar Standing Rollout,Advanced,Abdominals,Rectus Abdominis,Latissimus Dorsi,Serratus Anterior,EZ Bar,Standing,Double Arm,Continuous,Pronated
Double Dumbbell Seated Scaption,Beginner,Shoulders,Anterior Deltoids,Supraspinatus,Serratus Anterior,Dumbbell,Seated,Double Arm,Continuous,Neutral
Stability Ball Double Dumbbell Seated Scaption,Beginner,Shoulders,Anterior Deltoids,Supraspinatus,Serratus Anterior,Stability Ball,Seated,Double Arm,Continuous,Neutral
Alternating Double Dumbbell Bicep Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,Standing,Double Arm,Alternating,Supinated
Alternating Double Dumbbell Incline Bench Bicep Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,Seated,Double Arm,Alternating,Supinated
Alternating Double Dumbbell Hammer Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,Standing,Double Arm,Alternating,Neutral
Alternating Double Dumbbell Cross Body Hammer Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,Standing,Double Arm,Alternating,Neutral
Single Arm Dumbbell Incline Bench Preacher Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,Standing,Single Arm,Continuous,Supinated
Dumbbell Crush Grip Bicep Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,Standing,Double Arm,Continuous,Crush Grip
Double Dumbbell Zottman Curl,Beginner,Biceps,Biceps Brachii,Brachioradialis,Brachialis,Dumbbell,Standing,Double Arm,Continuous,Supinated
Dumbbell Waiter Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,Standing,Double Arm,Continuous,Supinated
Cable Straight Bar Drag Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,Standing,Double Arm,Continuous,Supinated
Cable Rope Hammer Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,Standing,Double Arm,Continuous,Neutral
Kettlebell Goblet Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,Standing,Double Arm,Continuous,Goblet
Suspension Bicep Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Suspension Trainer,Standing,Double Arm,Continuous,Supinated
Double Dumbbell Tricep Kickback,Beginner,Triceps,Triceps Brachii ,,,Dumbbell,Standing,Double Arm,Continuous,Neutral
Tire Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Tire,Standing,No Arms,Continuous,No Grip
Tire Jump Through,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Tire,Standing,No Arms,Continuous,No Grip
Tire Broad Jump,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Tire,Standing,No Arms,Continuous,No Grip
Tire Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Tire,Standing,No Arms,Continuous,No Grip
Tire Alternating Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Tire,Standing,No Arms,Continuous,No Grip
Tire Alternating Toe Taps Around the World,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Tire,Standing,No Arms,Continuous,No Grip
Dumbbell Seated Overhead Tricep Extension,Beginner,Triceps,Triceps Brachii ,Anterior Deltoids,Rectus Abdominis,Dumbbell,Seated,Double Arm,Continuous,Flat Palm
Tire Lateral Jump Through,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Tire,Standing,No Arms,Continuous,No Grip
Tire Carry,Intermediate,Forearms,Brachioradialis,Rectus Abdominis,,Tire,Walking,Double Arm,Continuous,Other
Dumbbell Overhead Tricep Extension,Beginner,Triceps,Triceps Brachii ,Anterior Deltoids,Rectus Abdominis,Dumbbell,Standing,Double Arm,Continuous,Flat Palm
Double Dumbbell Close Grip Floor Press,Beginner,Triceps,Triceps Brachii ,Pectoralis Major,Anterior Deltoids,Dumbbell,Supine,Double Arm,Continuous,Neutral
Barbell Back Rack Carry,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,,Barbell,Walking,Double Arm,Continuous,Pronated
Single Arm Barbell Suitcase Carry,Intermediate,Forearms,Brachioradialis,Obliques,,Barbell,Walking,Single Arm,Continuous,Neutral
Suspension Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Suspension Trainer,Single Leg Supported,No Arms,Continuous,No Grip
Suspension Bulgarian Split Squat Jump,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Suspension Trainer,Single Leg Supported,No Arms,Continuous,No Grip
Bodyweight Lateral Bear Crawl,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm
Bodyweight Step Up Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,Standing,No Arms,Continuous,No Grip
Tire Step Up Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Tire,Standing,No Arms,Continuous,No Grip
Bodyweight Alternating Step Up Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,Standing,No Arms,Continuous,No Grip
Tire Alternating Step Up Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Tire,Standing,No Arms,Continuous,No Grip
Barbell Power Clean to Push Press,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,Standing,Double Arm,Continuous,Pronated
Double Dumbbell Close Grip Bench Press,Beginner,Triceps,Triceps Brachii ,Pectoralis Major,Anterior Deltoids,Dumbbell,Supine,Double Arm,Continuous,Neutral
Double Clubbell Inside Pendulum,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,Standing,Double Arm,Continuous,Neutral
Single Arm Clubbell Outside Pendulum,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,Standing,Single Arm,Continuous,Neutral
Double Clubbell Outside Pendulum,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,Standing,Double Arm,Continuous,Neutral
Double Clubbell Inside Pendulum to Outside Pendulum,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,Standing,Double Arm,Continuous,Neutral
Clubbell Outside Pendulum,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,Standing,Double Arm,Continuous,Neutral
Double Clubbell Inside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,Standing,Double Arm,Continuous,Neutral
Double Clubbell Outside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,Standing,Double Arm,Continuous,Neutral
Clubbell Side to Side Swing,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,Standing,Double Arm,Continuous,Neutral
Double Dumbbell Close Grip Incline Bench Press,Beginner,Triceps,Triceps Brachii ,Pectoralis Major,Anterior Deltoids,Dumbbell,Seated,Double Arm,Continuous,Neutral
Cable Rope Tricep Pushdown ,Beginner,Triceps,Triceps Brachii ,Anconeus,Brachioradialis,Cable,Standing,Double Arm,Continuous,Neutral
Barbell Incline Push Up,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Barbell,Prone,Double Arm,Continuous,Pronated
Bodyweight Kneeling Push Up,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Bodyweight,Kneeling,Double Arm,Continuous,Flat Palm
Suspension Push Up,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Suspension Trainer,Standing,Double Arm,Continuous,Pronated
Suspension Chest Fly,Beginner,Chest,Pectoralis Major,Anterior Deltoids,Biceps Brachii,Suspension Trainer,Standing,Double Arm,Continuous,Neutral
Stability Ball Double Dumbbell Chest Fly,Beginner,Chest,Pectoralis Major,Anterior Deltoids,Biceps Brachii,Stability Ball,Supine,Double Arm,Continuous,Neutral
Stability Ball Dumbbell Pullover ,Beginner,Back,Latissimus Dorsi,Pectoralis Major,Triceps Brachii,Stability Ball,Supine,Double Arm,Continuous,Flat Palm
Tire Feet Elevated Glute Bridge,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Tire,Bridge,No Arms,Continuous,No Grip
Double Dumbbell Incline Bench Chest Fly,Beginner,Chest,Pectoralis Major,Anterior Deltoids,Biceps Brachii,Dumbbell,Seated,Double Arm,Continuous,Neutral
Suspension Low Row,Beginner,Back,Latissimus Dorsi,,,Suspension Trainer,Standing,Double Arm,Continuous,Neutral
Tire Flip,Advanced,Back,Latissimus Dorsi,Quadriceps Femoris,,Tire,Standing,Double Arm,Continuous,Supinated
Tire In and Out Squat Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Tire,Standing,No Arms,Continuous,No Grip
Kettlebell Goblet Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Goblet
Double Dumbbell Suitcase Feet Elevated Calf Raise,Novice,Calves,Gastrocnemius,Soleus,Tibialis Anterior,Dumbbell,Standing,Double Arm,Continuous,Neutral
Double Dumbbell Suitcase Calf Raise,Beginner,Calves,Gastrocnemius,Soleus,Tibialis Posterior,Dumbbell,Standing,Double Arm,Continuous,Neutral
Suspension Mid Row,Beginner,Back,Latissimus Dorsi,,,Suspension Trainer,Standing,Double Arm,Continuous,Pronated
Double Dumbbell Seated Calf Raise,Beginner,Calves,Soleus,Gastrocnemius,Tibialis Posterior,Dumbbell,Seated,Double Arm,Continuous,Neutral
Barbell Seated Calf Raise,Novice,Calves,Soleus,Gastrocnemius,Tibialis Posterior,Barbell,Seated,Double Arm,Continuous,Pronated
Double Clubbell Order Feet Elevated Calf Raise,Novice,Calves,Gastrocnemius,Soleus,Tibialis Anterior,Clubbell,Standing,Double Arm,Continuous,Neutral
Double Clubbell Order Calf Raise,Beginner,Calves,Gastrocnemius,Soleus,Tibialis Posterior,Clubbell,Standing,Double Arm,Continuous,Neutral
Clubbell Order Feet Elevated Calf Raise,Novice,Calves,Gastrocnemius,Soleus,Tibialis Anterior,Clubbell,Standing,Double Arm,Continuous,Neutral
Clubbell Order Calf Raise,Beginner,Calves,Gastrocnemius,Soleus,Tibialis Posterior,Clubbell,Standing,Double Arm,Continuous,Neutral
Single Arm Clubbell Order Feet Elevated Calf Raise,Novice,Calves,Gastrocnemius,Soleus,Tibialis Anterior,Clubbell,Standing,Single Arm,Continuous,Neutral
Single Arm Clubbell Order Calf Raise,Beginner,Calves,Gastrocnemius,Soleus,Tibialis Posterior,Clubbell,Standing,Single Arm,Continuous,Neutral
Bodyweight Hand Assisted Feet Elevated Calf Raise,Beginner,Calves,Gastrocnemius,Soleus,Tibialis Anterior,Bodyweight,Standing,Double Arm,Continuous,Hand Assisted
Bodyweight Hand Assisted Calf Raise,Beginner,Calves,Gastrocnemius,Soleus,Tibialis Posterior,Bodyweight,Standing,Double Arm,Continuous,Hand Assisted
Bodyweight Calf Raise,Beginner,Calves,Gastrocnemius,Soleus,Tibialis Posterior,Bodyweight,Standing,No Arms,Continuous,No Grip
Bodyweight Hand Assisted Foot Elevated Single Leg Calf Raise,Novice,Calves,Gastrocnemius,Soleus,Tibialis Anterior,Bodyweight,Single Leg Standing,Double Arm,Continuous,Hand Assisted
Bodyweight Hand Assisted Single Leg Calf Raise,Novice,Calves,Gastrocnemius,Soleus,Tibialis Posterior,Bodyweight,Single Leg Standing,Double Arm,Continuous,Hand Assisted
Bodyweight Single Leg Calf Raise,Novice,Calves,Gastrocnemius,Soleus,Tibialis Posterior,Bodyweight,Single Leg Standing,No Arms,Continuous,No Grip
Barbell Front Rack Feet Elevated Calf Raise,Intermediate,Calves,Gastrocnemius,Soleus,Tibialis Anterior,Barbell,Standing,Double Arm,Continuous,Pronated
Kettlebell Goblet Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Goblet
Double Kettlebell L Sit Flutter Kicks,Advanced,Hip Flexors,Iliopsoas,Rectus Abdominis,,Kettlebell,L Sit,Double Arm,Continuous,Neutral
Double Dumbbell Front Rack Feet Elevated Calf Raise,Novice,Calves,Gastrocnemius,Soleus,Tibialis Anterior,Dumbbell,Standing,Double Arm,Continuous,Neutral
Double Dumbbell Front Rack Calf Raise,Beginner,Calves,Gastrocnemius,Soleus,Tibialis Posterior,Dumbbell,Standing,Double Arm,Continuous,Neutral
Barbell Back Rack Feet Elevated Calf Raise,Intermediate,Calves,Gastrocnemius,Soleus,Tibialis Anterior,Barbell,Standing,Double Arm,Continuous,Pronated
Tire Mountain Climber,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Tire,Prone,Double Arm,Continuous,Flat Palm
Bodyweight Wall Supported Tibialis Raise,Beginner,Shins,Tibialis Anterior,Extensor Digitorum Longus,Extensor Hallucis Longus,Bodyweight,Standing,No Arms,Continuous,No Grip
Cable Seated Tibialis Raise,Novice,Shins,Tibialis Anterior,Extensor Digitorum Longus,Extensor Hallucis Longus,Cable,Seated Floor,No Arms,Continuous,No Grip
Cable Seated Single Leg Tibialis Raise,Novice,Shins,Tibialis Anterior,Extensor Digitorum Longus,Extensor Hallucis Longus,Cable,Seated Floor,No Arms,Continuous,No Grip
Kettlebell Goblet Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Walking,Double Arm,Continuous,Goblet
Dumbbell Seated Tibialis Raise,Novice,Shins,Tibialis Anterior,Extensor Digitorum Longus,Extensor Hallucis Longus,Dumbbell,Seated,No Arms,Continuous,No Grip
Kettlebell Horn Grip Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,Standing,Double Arm,Continuous,Horn Grip
Kettlebell Low Hold Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,Standing,Double Arm,Continuous,Pronated
Double Dumbbell Seated Feet Elevated Calf Raise,Beginner,Calves,Soleus,Gastrocnemius,Tibialis Posterior,Dumbbell,Seated,Double Arm,Continuous,Neutral
Barbell Seated Feet Elevated Calf Raise,Novice,Calves,Soleus,Gastrocnemius,Tibialis Posterior,Barbell,Seated,Double Arm,Continuous,Pronated
Kettlebell Horn Grip Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Horn Grip
Tire Leg Press,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Tire,Supine,No Arms,Continuous,No Grip
Cable Isometric Split Squat Pallof Press,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,Isometric Split Squat,Double Arm,Continuous,Neutral
Bodyweight Isometric Split Squat Calf Raise,Intermediate,Calves,Soleus,Gastrocnemius,Quadriceps Femoris,Bodyweight,Isometric Split Squat,No Arms,Continuous,No Grip
Bodyweight Isometric Split Squat Foot Elevated Calf Raise,Intermediate,Calves,Soleus,Gastrocnemius,Quadriceps Femoris,Bodyweight,Isometric Split Squat,No Arms,Continuous,No Grip
Double Dumbbell Suitcase Isometric Split Squat Calf Raise,Advanced,Calves,Soleus,Gastrocnemius,Quadriceps Femoris,Dumbbell,Isometric Split Squat,Double Arm,Continuous,Neutral
Double Dumbbell Suitcase Isometric Split Squat Foot Elevated Calf Raise,Advanced,Calves,Soleus,Gastrocnemius,Quadriceps Femoris,Dumbbell,Isometric Split Squat,Double Arm,Continuous,Neutral
Kettlebell Horn Grip Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Horn Grip
Kettlebell Horn Grip Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Walking,Double Arm,Continuous,Horn Grip
Barbell Back Rack Isometric Split Squat Calf Raise,Advanced,Calves,Soleus,Gastrocnemius,Quadriceps Femoris,Barbell,Isometric Split Squat,Double Arm,Continuous,Pronated
Barbell Back Rack Isometric Split Squat Foot Elevated Calf Raise,Advanced,Calves,Soleus,Gastrocnemius,Quadriceps Femoris,Barbell,Isometric Split Squat,Double Arm,Continuous,Pronated
